"統計期","行業別","總薪資"
"95年 8月","工業及服務業",41257
"95年 9月","工業及服務業",39934
"95年 10月","工業及服務業",39581
"95年 11月","工業及服務業",38815
"95年 12月","工業及服務業",42479
"96年 1月","工業及服務業",48933
"96年 2月","工業及服務業",74818
"96年 3月","工業及服務業",39627
"96年 4月","工業及服務業",39466
"96年 5月","工業及服務業",40518
"96年 6月","工業及服務業",40852
"96年 7月","工業及服務業",41544
"96年 8月","工業及服務業",41493
"96年 9月","工業及服務業",42695
"96年 10月","工業及服務業",39756
"96年 11月","工業及服務業",39618
"96年 12月","工業及服務業",43982
"97年 1月","工業及服務業",65801
"97年 2月","工業及服務業",59666
"97年 3月","工業及服務業",40314
"97年 4月","工業及服務業",40236
"97年 5月","工業及服務業",40604
"97年 6月","工業及服務業",41231
"97年 7月","工業及服務業",42742
"97年 8月","工業及服務業",41468
"97年 9月","工業及服務業",41376
"97年 10月","工業及服務業",39597
"97年 11月","工業及服務業",38195
"97年 12月","工業及服務業",41914
"98年 1月","工業及服務業",68192
"98年 2月","工業及服務業",41208
"98年 3月","工業及服務業",38647
"98年 4月","工業及服務業",38989
"98年 5月","工業及服務業",39817
"98年 6月","工業及服務業",38307
"98年 7月","工業及服務業",39759
"98年 8月","工業及服務業",39639
"98年 9月","工業及服務業",40683
"98年 10月","工業及服務業",39973
"98年 11月","工業及服務業",39197
"98年 12月","工業及服務業",42973
"99年 1月","工業及服務業",54043
"99年 2月","工業及服務業",67526
"99年 3月","工業及服務業",40904
"99年 4月","工業及服務業",40428
"99年 5月","工業及服務業",41311
"99年 6月","工業及服務業",41788
"99年 7月","工業及服務業",41749
"99年 8月","工業及服務業",40603
"99年 9月","工業及服務業",43307
"99年 10月","工業及服務業",40269
"99年 11月","工業及服務業",39858
"99年 12月","工業及服務業",44657
"100年 1月","工業及服務業",83409
"100年 2月","工業及服務業",46184
"100年 3月","工業及服務業",41098
"100年 4月","工業及服務業",40996
"100年 5月","工業及服務業",42359
"100年 6月","工業及服務業",41994
"100年 7月","工業及服務業",42880
"100年 8月","工業及服務業",42698
"100年 9月","工業及服務業",43572
"100年 10月","工業及服務業",40891
"100年 11月","工業及服務業",40123
"100年 12月","工業及服務業",45951
"101年 1月","工業及服務業",84295
"101年 2月","工業及服務業",42434
"101年 3月","工業及服務業",41565
"101年 4月","工業及服務業",41687
"101年 5月","工業及服務業",42125
"101年 6月","工業及服務業",43103
"101年 7月","工業及服務業",42609
"101年 8月","工業及服務業",41971
"101年 9月","工業及服務業",44205
"101年 10月","工業及服務業",41118
"101年 11月","工業及服務業",40198
"101年 12月","工業及服務業",47896
"102年 1月","工業及服務業",60608
"102年 2月","工業及服務業",62820
"102年 3月","工業及服務業",41736
"102年 4月","工業及服務業",42066
"102年 5月","工業及服務業",42568
"102年 6月","工業及服務業",43025
"102年 7月","工業及服務業",43405
"102年 8月","工業及服務業",42711
"102年 9月","工業及服務業",43551
"102年 10月","工業及服務業",42395
"102年 11月","工業及服務業",41765
"102年 12月","工業及服務業",46683
"103年 1月","工業及服務業",88828
"103年 2月","工業及服務業",42177
"103年 3月","工業及服務業",43025
"103年 4月","工業及服務業",42705
"103年 5月","工業及服務業",44971
"103年 6月","工業及服務業",42931
"103年 7月","工業及服務業",46382
"103年 8月","工業及服務業",44983
"103年 9月","工業及服務業",44721
"103年 10月","工業及服務業",42865
"103年 11月","工業及服務業",43080
"103年 12月","工業及服務業",46704
"104年 1月","工業及服務業",52391
"104年 2月","工業及服務業",87083
"104年 3月","工業及服務業",43327
"104年 4月","工業及服務業",44009
"104年 5月","工業及服務業",44249
"104年 6月","工業及服務業",44994
"104年 7月","工業及服務業",47574
"104年 8月","工業及服務業",45290
"104年 9月","工業及服務業",45149
"104年 10月","工業及服務業",43578
"104年 11月","工業及服務業",43251
"104年 12月","工業及服務業",46981
"105年 1月","工業及服務業",75684
"105年 2月","工業及服務業",59579
"105年 3月","工業及服務業",44053
"105年 4月","工業及服務業",44221
"105年 5月","工業及服務業",46611
"105年 6月","工業及服務業",45360
"105年 7月","工業及服務業",47686
"105年 8月","工業及服務業",46253
"105年 9月","工業及服務業",45621
"105年 10月","工業及服務業",43808
"105年 11月","工業及服務業",44598
"105年 12月","工業及服務業",47823
"106年 1月","工業及服務業",93243
"106年 2月","工業及服務業",46421
"106年 3月","工業及服務業",44900
"106年 4月","工業及服務業",45111
"106年 5月","工業及服務業",49416
"106年 6月","工業及服務業",45491
"106年 7月","工業及服務業",48834
"106年 8月","工業及服務業",47233
"106年 9月","工業及服務業",46726
"106年 10月","工業及服務業",45407
"106年 11月","工業及服務業",45991
"106年 12月","工業及服務業",49261
"107年 1月","工業及服務業",59158
"107年 2月","工業及服務業",86611
"107年 3月","工業及服務業",46504
"107年 4月","工業及服務業",46396
"107年 5月","工業及服務業",48161
"107年 6月","工業及服務業",48496
"107年 7月","工業及服務業",51977
"107年 8月","工業及服務業",49829
"107年 9月","工業及服務業",48113
"107年 10月","工業及服務業",46420
"107年 11月","工業及服務業",47453
"107年 12月","工業及服務業",50830
"108年 1月","工業及服務業",93095
"108年 2月","工業及服務業",54034
"108年 3月","工業及服務業",46193
"108年 4月","工業及服務業",47901
"108年 5月","工業及服務業",50179
"108年 6月","工業及服務業",48561
"108年 7月","工業及服務業",53209
"108年 8月","工業及服務業",50900
"108年 9月","工業及服務業",49256
"108年 10月","工業及服務業",47216
"108年 11月","工業及服務業",48312
"108年 12月","工業及服務業",54011
"109年 1月","工業及服務業",98225
"109年 2月","工業及服務業",49651
"109年 3月","工業及服務業",47759
"109年 4月","工業及服務業",47962
"109年 5月","工業及服務業",49471
"109年 6月","工業及服務業",50559
"109年 7月","工業及服務業",55269
"109年 8月","工業及服務業",51062
"109年 9月","工業及服務業",50522
"109年 10月","工業及服務業",48057
"109年 11月","工業及服務業",49145
"109年 12月","工業及服務業",53555
"110年 1月","工業及服務業",71893
"110年 2月","工業及服務業",79298
"110年 3月","工業及服務業",49133
"110年 4月","工業及服務業",50280
"110年 5月","工業及服務業",52103
"110年 6月","工業及服務業",51503
"110年 7月","工業及服務業",55920
"110年 8月","工業及服務業",53228
"110年 9月","工業及服務業",52498
"110年 10月","工業及服務業",50918
"110年 11月","工業及服務業",50939
"110年 12月","工業及服務業",55779
"111年 1月","工業及服務業",105379
"111年 2月","工業及服務業",49699
"111年 3月","工業及服務業",51181
"111年 4月","工業及服務業",51428
"111年 5月","工業及服務業",55304
"111年 6月","工業及服務業",52951
"111年 7月","工業及服務業",58546
"111年 8月","工業及服務業",56983
"111年 9月","工業及服務業",53101
"111年 10月","工業及服務業",51350
"111年 11月","工業及服務業",52505
"111年 12月","工業及服務業",58063
"112年 1月","工業及服務業",105327
"112年 2月","工業及服務業",52685
"112年 3月","工業及服務業",51936
"112年 4月","工業及服務業",51962
"112年 5月","工業及服務業",54951
"112年 6月","工業及服務業",53743
"112年 7月","工業及服務業",58706
"112年 8月","工業及服務業",56048
"112年 9月","工業及服務業",54487
"112年 10月","工業及服務業",51472
"112年 11月","工業及服務業",52370
"112年 12月","工業及服務業",57372
"113年 1月","工業及服務業",82388
"113年 2月","工業及服務業",81644
"113年 3月","工業及服務業",53473
"113年 4月","工業及服務業",53769
"113年 5月","工業及服務業",57745
"113年 6月","工業及服務業",55468
"113年 7月","工業及服務業",62266


"說明：1.工業及服務業與服務業部門統計結果涵蓋範圍自98年1月起增加「教育業之教育輔助業及其他教育業」,108年1月起"
"　　　   增加 「研究發展服務業」、「教育業之學前教育」及「社會工作服務業」。"
"　　　2.教育業僅涵蓋「學前教育、教育輔助及其他教育業」,如幼兒園、各類補習班、才 藝班、汽車駕駛訓練班及代辦"
"　　　   留（遊）學服務等。"
"　　　3.本項統計每月10日發布初步統計結果,並根據新增回表資料,於次月修正相關統計結果。"
"　　　4.因108年行業擴增幅度較大,為比較基礎一致,當年數據不與前一年資料進行比較。"
