項目別, ,銷售量,,,,,銷售值 (千元),,,,, 
 , ,(0920010)果蔬汁 (千公升),(0920910)碳酸飲料 (千公升),(0920930)運動飲料 (千公升),(0920940)咖啡飲料 (千公升),(0920950)茶類飲料 (千公升),(0920010)果蔬汁,(0920910)碳酸飲料,(0920930)運動飲料,(0920940)咖啡飲料,(0920950)茶類飲料, 
 ,10月,"18,540","24,480","6,677","2,268",-,"471,778","527,303","154,696","95,575",-, 
 ,11月,"14,943","18,090","6,010","2,063",-,"341,735","370,974","139,251","86,923",-, 
 ,12月,"11,899","11,215","5,781","1,999",-,"295,570","209,299","133,977","84,278",-, 
1988年,1月,"13,068","11,833","4,869","1,725",-,"319,634","307,032","112,812","71,983",-, 
 ,2月,"16,340","17,470","5,227","1,816",-,"392,492","380,955","121,122","75,771",-, 
 ,3月,"19,846","19,707","4,873","1,751",-,"464,539","409,622","112,897","73,142",-, 
 ,4月,"19,333","22,296","5,323","1,916",-,"466,218","500,121","123,312","80,038",-, 
 ,5月,"26,461","35,282","6,937","2,459",-,"633,864","762,947","160,734","102,654",-, 
 ,6月,"32,219","34,136","7,354","2,619",-,"762,164","731,299","170,396","109,364",-, 
 ,7月,"35,576","39,305","7,952","2,809",-,"805,012","878,598","184,243","117,171",-, 
 ,8月,"35,471","41,495","8,371","2,937",-,"851,294","919,790","193,958","122,486",-, 
 ,9月,"30,686","36,602","7,884","2,733",-,"731,702","800,045","182,675","113,716",-, 
 ,10月,"24,878","25,122","5,815","2,035",-,"600,559","560,547","134,737","84,368",-, 
 ,11月,"19,755","21,529","5,537","1,981",-,"525,229","469,401","128,290","82,199",-, 
 ,12月,"17,239","15,395","5,532","2,017",-,"433,396","327,801","128,173","83,765",-, 
1989年,1月,"15,626","19,931","3,257","3,626",-,"358,478","424,019","80,540","150,322",-, 
 ,2月,"18,135","19,820","5,399","2,894",-,"555,735","441,087","139,495","119,985",-, 
 ,3月,"18,793","23,334","7,031","4,042",-,"528,740","512,079","173,949","168,320",-, 
 ,4月,"22,400","29,421","7,370","4,098",-,"653,659","582,298","186,093","170,670",-, 
 ,5月,"34,332","33,899","10,846","4,797",-,"1,000,727","721,588","272,669","199,700",-, 
 ,6月,"34,890","37,680","14,645","4,684",-,"1,158,516","784,489","372,446","194,920",-, 
 ,7月,"31,581","41,341","11,610","5,328",-,"952,276","881,704","287,704","221,746",-, 
 ,8月,"33,719","45,865","13,374","5,245",-,"1,005,664","982,391","329,975","218,137",-, 
 ,9月,"27,918","40,459","14,353","4,806",-,"890,853","856,351","366,813","199,851",-, 
 ,10月,"15,857","36,449","12,022","4,517",-,"598,380","772,588","300,184","187,968",-, 
 ,11月,"15,180","28,761","10,218","4,643",-,"569,433","603,757","256,871","193,214",-, 
 ,12月,"14,804","19,970","9,531","4,540",-,"592,029","408,063","264,913","188,916",-, 
1990年,1月,"14,145","21,229","5,422","3,278",-,"555,296","491,108","112,230","136,315",-, 
