"統計期","總指數","15.非酒精性飲料及材料",
"96年6月","86.24","89.33",
"96年7月","86.04","89.36",
"96年8月","87.18","88.63",
"96年9月","87.99","89.15",
"96年10月","89.86","89.99",
"96年11月","89.33","90.14",
"96年12月","88.26","91.01",
"97年","89.86","92.77",
"97年1月","87.75","91.47",
"97年2月","88.87","91.18",
"97年3月","87.91","92.29",
"97年4月","88.86","92.61",
"97年5月","88.90","92.71",
"97年6月","90.53","92.57",
"97年7月","91.04","93.19",
"97年8月","91.27","93.35",
"97年9月","90.72","93.83",
"97年10月","92.00","93.25",
"97年11月","91.05","93.31",
"97年12月","89.38","93.52",
"98年","89.07","92.97",
"98年1月","89.04","93.18",
"98年2月","87.68","93.97",
"98年3月","87.78","93.41",
"98年4月","88.45","93.74",
"98年5月","88.82","94.32",
"98年6月","88.73","93.21",
"98年7月","88.91","93.31",
"98年8月","90.52","93.43",
"98年9月","89.91","92.04",
"98年10月","90.26","90.73",
"98年11月","89.59","91.62",
"98年12月","89.16","92.64",
"99年","89.93","92.37",
"99年1月","89.27","92.50",
"99年2月","89.74","90.46",
"99年3月","88.89","92.87",
"99年4月","89.64","93.81",
"99年5月","89.49","93.33",
"99年6月","89.80","93.69",
"99年7月","90.08","92.62",
"99年8月","90.09","91.45",
"99年9月","90.18","91.79",
"99年10月","90.78","91.67",
"99年11月","90.95","92.10",
"99年12月","90.26","92.12",
"100年","91.21","92.40",
"100年1月","90.25","91.38",
"100年2月","90.93","91.94",
"100年3月","90.13","93.06",
"100年4月","90.80","92.18",
"100年5月","90.98","91.79",
"100年6月","91.54","92.12",
"100年7月","91.27","91.58",
"100年8月","91.30","91.80",
"100年9月","91.42","92.13",
"100年10月","91.91","93.26",
"100年11月","91.89","93.81",
"100年12月","92.09","93.77",
"101年","92.97","94.01",
"101年1月","92.38","92.30",
"101年2月","91.15","93.53",
"101年3月","91.27","93.33",
"101年4月","92.11","94.34",
"101年5月","92.57","94.59",
"101年6月","93.16","93.78",
"101年7月","93.52","93.92",
"101年8月","94.43","93.88",
"101年9月","94.12","94.11",
"101年10月","94.05","94.91",
"101年11月","93.35","94.64",
"101年12月","93.58","94.75",
"102年","93.71","93.76",
"102年1月","93.41","93.56",
"102年2月","93.85","93.41",
"102年3月","92.50","93.56",
"102年4月","93.08","94.46",
"102年5月","93.25","93.63",
"102年6月","93.72","94.10",
"102年7月","93.58","93.90",
"102年8月","93.69","93.78",
"102年9月","94.92","94.23",
"102年10月","94.66","91.74",
"102年11月","93.98","94.48",
"102年12月","93.89","94.30",
"103年","94.83","94.04",
"103年1月","94.18","93.72",
"103年2月","93.81","94.19",
"103年3月","93.99","93.48",
"103年4月","94.62","93.83",
"103年5月","94.76","94.17",
"103年6月","95.25","94.03",
"103年7月","95.22","92.53",
"103年8月","95.64","93.44",
"103年9月","95.59","95.69",
"103年10月","95.66","94.15",
"103年11月","94.78","95.15",
"103年12月","94.46","94.15",
"104年","94.54","95.29",
"104年1月","93.30","95.64",
"104年2月","93.62","94.14",
"104年3月","93.41","95.20",
"104年4月","93.84","95.00",
"104年5月","94.07","95.41",
"104年6月","94.72","93.99",
"104年7月","94.62","95.25",
"104年8月","95.21","95.47",
"104年9月","95.87","94.86",
"104年10月","95.95","96.20",
"104年11月","95.29","96.64",
"104年12月","94.58","95.71",
"105年","95.86","96.26",
"105年1月","94.05","96.16",
"105年2月","95.88","94.79",
"105年3月","95.29","96.84",
"105年4月","95.60","97.27",
"105年5月","95.23","97.26",
"105年6月","95.57","96.73",
"105年7月","95.79","95.12",
"105年8月","95.75","93.86",
"105年9月","96.19","95.65",
"105年10月","97.58","96.70",
"105年11月","97.17","97.90",
"105年12月","96.18","96.86",
"106年","96.45","96.91",
"106年1月","96.16","96.92",
"106年2月","95.82","98.94",
"106年3月","95.46","97.10",
"106年4月","95.69","97.55",
"106年5月","95.80","98.41",
"106年6月","96.53","97.00",
"106年7月","96.53","94.51",
"106年8月","96.67","95.21",
"106年9月","96.66","95.59",
"106年10月","97.26","96.00",
"106年11月","97.50","98.12",
"106年12月","97.35","97.51",
"107年","97.76","97.99",
"107年1月","97.02","96.32",
"107年2月","97.93","97.11",
"107年3月","96.98","97.98",
"107年4月","97.61","97.99",
"107年5月","97.48","97.50",
"107年6月","97.88","98.20",
"107年7月","98.22","98.69",
"107年8月","98.16","96.70",
"107年9月","98.32","98.40",
"107年10月","98.39","99.23",
"107年11月","97.78","98.28",
"107年12月","97.29","99.44",
"108年","98.30","99.50",
"108年1月","97.19","97.98",
"108年2月","98.14","98.72",
"108年3月","97.52","99.71",
"108年4月","98.25","100.62",
"108年5月","98.39","99.68",
"108年6月","98.71","100.42",
"108年7月","98.60","98.98",
"108年8月","98.58","98.04",
"108年9月","98.73","99.97",
"108年10月","98.75","100.03",
"108年11月","98.35","99.12",
"108年12月","98.41","100.71",
"109年","98.07","99.94",
"109年1月","99.00","99.20",
"109年2月","97.94","100.76",
"109年3月","97.50","100.14",
"109年4月","97.30","100.45",
"109年5月","97.20","100.94",
"109年6月","97.98","100.30",
"109年7月","98.10","99.76",
"109年8月","98.25","98.58",
"109年9月","98.16","99.71",
"109年10月","98.49","100.07",
