"","FruitVegetableJuice_volumn","CarbonatedBeverage_volumn","SportsDrink_volumn","CoffeeDrink_volumn","TeaDrink_volumn","FruitVegetableJuice_value","CarbonatedBeverage_value","SportsDrink_value","CoffeeDrink_value","TeaDrink_value","TotalSalary","FruitVegetableJuice_price","CarbonatedBeverage_price","SportsDrink_price","CoffeeDrink_price","TeaDrink_price"
"Count",396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396
"Mean",25611.8863636364,29587.7171717172,11071.3863636364,10772.898989899,79898.595959596,602916.46969697,587473.563131313,247255.929292929,409561.406565657,1421873.22474747,44035.5606060606,23.5995475816365,19.7414582805603,23.1402459431426,38.3445617710593,18.2036224302917
"Std_Dev",5479.89103695753,11419.9789738354,5908.76161025311,3059.93231660051,27855.8228268416,134457.790246818,242392.70425631,121139.805547187,108365.722003457,473283.590174579,12517.560339763,2.27509293117898,1.44633635125722,3.81977202758167,1.98521314301313,2.4817044548596
"Min",14158,12690,2614,3714,8525,338694,241473,54881,153917,213117,23829,20.2251057827927,15.8061512710535,14.7992837122392,29.0910562021535,14.2513434487119
"25th_Percentile",21554.25,20587.75,6139,7902.5,59964.25,501366.75,395999.5,148160.75,311306,1089423,37883.75,22.2274217249106,18.7469561411542,20.4133264949114,37.2160239071044,16.4698710080627
"Median",24787.5,26972,9409,11513.5,81416,579798,525470.5,216398.5,427636,1445437,41422,22.9884172950342,19.6540940529156,22.0246080909724,38.8836680726725,17.1471988129983
"75th_Percentile",29128.25,37137.25,14926.5,13380.75,100115,691823.75,731885.75,334798,492919.25,1760184,48198.75,24.3608603061859,20.7567108669412,25.828722506588,39.3975620413289,19.9014344578109
"Max",48324,67064,26692,16673,150060,1096399,1394424,576126,647208,2781819,105379,38.5658991382964,23.7649370416494,37.3018063730465,47.215400139719,25.0005542725173
